Rank,Bey,ELO,GiantKillerScore,Matches,Wins,Losses,UpsetWins,UpsetLosses,UpsetRate,Vulnerability,AvgUpsetWinMagnitude,AvgUpsetLossMagnitude,BiggestUpsetWin,BiggestUpsetLoss
1,LeonClaw,1001,80.0,4,2,2,2,0,100.0%,0.0%,34.6,0,48.6,0
2,BlackShell,980,72.1,5,2,3,2,0,100.0%,0.0%,27.1,0,36.0,0
3,RhinoReaper,1033,68.9,8,6,2,4,0,66.7%,0.0%,25.0,0,43.1,0
4,WhaleWave,963,66.3,5,2,3,2,0,100.0%,0.0%,19.1,0,20.0,0
5,DranSword,1016,65.1,7,5,2,3,1,60.0%,50.0%,30.6,36.0,64.2,36.0
6,SilverWolf,993,63.4,6,3,3,2,0,66.7%,0.0%,33.5,0,60.5,0
7,CrimsonGaruda,986,63.3,4,1,3,1,0,100.0%,0.0%,25.3,0,25.3,0
8,LeonCrest,982,61.8,4,1,3,1,0,100.0%,0.0%,23.3,0,23.3,0
9,DranBuster,995,61.4,5,2,3,2,1,100.0%,33.3%,12.4,18.2,13.3,18.2
10,ViperTail,1035,57.0,6,4,2,2,1,50.0%,50.0%,32.8,17.3,62.3,17.3
11,WizardArc,979,55.5,4,1,3,1,0,100.0%,0.0%,14.5,0,14.5,0
12,PhoenixWing,994,52.8,6,3,3,2,0,66.7%,0.0%,18.8,0,20.5,0
13,KnightMail,1031,50.5,5,3,2,2,1,66.7%,50.0%,13.4,48.6,14.4,48.6
14,WizardRod,981,31.4,7,3,4,1,2,33.3%,50.0%,17.1,17.6,17.1,20.6
15,TuskMammoth,1024,30.8,9,7,2,2,1,28.6%,50.0%,10.7,31.6,17.3,31.6
16,ImpactDrake,1067,30.5,10,8,2,2,2,25.0%,100.0%,12.7,62.4,17.1,64.2
17,PhoenixRudder,992,29.2,6,3,3,1,1,33.3%,33.3%,13.3,6.5,13.3,6.5
18,DranDagger,1040,27.7,7,5,2,1,1,20.0%,50.0%,18.5,43.1,18.5,43.1
19,SamuraiSaber,943,0.0,4,0,4,0,1,0.0%,25.0%,0,13.3,0,13.3
20,GolemRock,1002,0.0,6,3,3,0,1,0.0%,33.3%,0,17.1,0,17.1
21,DranBrave,962,0.0,5,1,4,0,2,0.0%,50.0%,0,3.6,0,3.8
22,HellsReaper,965,0.0,4,0,4,0,0,0.0%,0.0%,0,0,0,0
23,HellsHammer,954,0.0,4,0,4,0,0,0.0%,0.0%,0,0,0,0
24,UnicornSting,990,0.0,7,3,4,0,4,0.0%,100.0%,0,21.6,0,23.9
25,FoxBrush,1078,0.0,12,10,2,0,2,0.0%,100.0%,0,35.3,0,62.3
26,HellsChain,1002,0.0,5,2,3,0,2,0.0%,66.7%,0,11.1,0,18.1
27,TyrannoBeat,965,0.0,5,1,4,0,1,0.0%,25.0%,0,11.4,0,11.4
28,WizardArrow,961,0.0,4,0,4,0,2,0.0%,50.0%,0,21.2,0,25.3
29,SharkEdge,995,0.0,5,2,3,0,1,0.0%,33.3%,0,8.2,0,8.2
30,CobaltDragoon,1045,0.0,7,5,2,0,2,0.0%,100.0%,0,15.8,0,17.1
31,PerseusDark,988,0.0,5,2,3,0,2,0.0%,66.7%,0,14.7,0,17.1
32,WeissTiger,1044,0.0,5,3,2,0,1,0.0%,50.0%,0,13.3,0,13.3
33,ScorpioSpear,999,0.0,6,3,3,0,0,0.0%,0.0%,0,0,0,0
34,CerberusFlame,1056,0.0,6,5,1,0,0,0.0%,0.0%,0,0,0,0
35,PegasusBlast,957,0.0,3,0,3,0,0,0.0%,0.0%,0,0,0,0
36,WhaleFlame,983,0.0,3,1,2,0,1,0.0%,50.0%,0,20.0,0,20.0
