Rank,Date,Winner,Loser,WinnerPreELO,LoserPreELO,ELODifference,Score
1,2025-12-02,DranSword,ImpactDrake,1009.4,1073.5,64.17,4-2
2,2025-12-02,ViperTail,FoxBrush,1022.7,1085.0,62.34,5-2
3,2025-11-12,SilverWolf,ImpactDrake,1009.5,1070.1,60.54,4-2
4,2025-12-02,LeonClaw,KnightMail,991.5,1040.2,48.64,4-2
5,2025-11-12,RhinoReaper,DranDagger,991.0,1034.1,43.13,6-2
6,2025-11-12,BlackShell,DranSword,980.0,1016.0,36.04,4-1
7,2025-11-12,RhinoReaper,TuskMammoth,1003.5,1035.1,31.62,4-0
8,2025-12-02,CrimsonGaruda,WizardArrow,968.0,993.3,25.3,4-0
9,2025-09-07,DranSword,UnicornSting,1008.1,1032.0,23.92,4-1
10,2025-12-02,LeonCrest,UnicornSting,972.4,995.7,23.33,5-2
11,2025-12-02,LeonClaw,WizardRod,978.4,999.0,20.62,4-1
12,2025-12-02,PhoenixWing,UnicornSting,984.9,1005.5,20.51,5-2
13,2025-11-12,WhaleWave,WhaleFlame,980.0,1000.0,20.0,4-2
14,2025-11-12,DranDagger,UnicornSting,1008.0,1026.5,18.52,5-0
15,2025-12-02,BlackShell,DranBuster,977.5,995.7,18.22,4-0
16,2025-12-02,WhaleWave,HellsChain,976.5,994.7,18.14,4-3
17,2025-11-12,TuskMammoth,ViperTail,1001.0,1018.3,17.32,5-1
18,2025-09-07,ImpactDrake,GolemRock,1002.9,1020.0,17.14,4-0
19,2025-09-07,PhoenixWing,CobaltDragoon,1002.9,1020.0,17.14,4-2
20,2025-09-07,WizardRod,PerseusDark,1002.9,1020.0,17.14,4-2
21,2025-11-12,RhinoReaper,WizardArrow,980.0,997.1,17.14,4-3
22,2025-12-02,WizardArc,WizardRod,971.3,985.8,14.49,4-2
23,2025-11-12,KnightMail,CobaltDragoon,1020.7,1035.2,14.44,5-3
24,2025-09-07,PhoenixRudder,WeissTiger,1006.7,1020.0,13.33,4-3
25,2025-11-12,DranBuster,SamuraiSaber,980.0,993.3,13.33,4-0
26,2025-11-12,KnightMail,PerseusDark,1000.0,1012.4,12.35,5-0
27,2025-12-02,DranBuster,TyrannoBeat,974.7,986.0,11.37,4-0
28,2025-09-07,ImpactDrake,FoxBrush,1048.8,1057.1,8.35,7-0
29,2025-11-12,RhinoReaper,SharkEdge,983.8,992.0,8.16,4-2
30,2025-11-12,SilverWolf,PhoenixRudder,997.1,1003.6,6.5,4-1
31,2025-11-12,TuskMammoth,HellsChain,995.7,999.9,4.16,5-3
32,2025-09-07,DranSword,DranBrave,1002.9,1006.7,3.81,5-3
33,2025-11-12,ViperTail,DranBrave,998.1,1001.5,3.35,4-0
